gene_id	n_tissues_used	corr_domFrac_vs_logExpr	corr_entropy_vs_logExpr	median_gene_tpm	dominant_isoform_switch_range	isoform_entropy_range	n_isoforms
ENSG00000007520	54	0.3485979677069921	-0.31478339135240296	41.307501	0.12770602286168387	0.3201942211562659	2
ENSG00000007541	54	0.1100188472261214	0.23431623866428186	16.065	0.4094331195909172	1.13854379961255	21
ENSG00000007545	53	-0.1652453171039787	0.21380070266981746	7.494999999999999	0.20020087043856716	0.6222878421146562	3
ENSG00000007866	49	0.7118123162136645	-0.7352229561707597	18.310000000000002	0.45996063030115875	0.5569617629534391	3
ENSG00000007908	19	-0.1429140979537668	0.14256885294410962	2.2	0.32522796352583583	0.8209196311805195	6
ENSG00000007923	54	-0.33176389419372304	0.39807229152127754	20.814999999999994	0.2080375735639315	0.48368740664567433	10
ENSG00000007933	27	-0.7217169707264108	0.7170123535798112	3.460000000000001	0.14520019279212737	0.5456553663306156	6
ENSG00000007944	54	-0.4257638040600745	0.46254695555230574	15.0075	0.271831894006794	0.3122638494997421	2
ENSG00000007968	10	-0.6366405745529121	0.6665790023397454	2.915	0.07633587786259544	0.26972780451937695	2
ENSG00000008018	54	-0.09085592319625395	0.09159664503542038	148.62	0.06713387648276614	0.2028613517420227	2
ENSG00000008056	37	-0.50904009876223	0.4766288412932302	2.9299999999999997	0.3098094340329825	0.3551703814471421	4
ENSG00000008083	54	-0.21292431533364237	0.22838169357438476	4.5200000000000005	0.3297653345694883	0.3010869965685864	3
ENSG00000008086	45	-0.20000223627272387	0.14976307852119533	2.37	0.6509274873524452	1.3670530504935985	10
ENSG00000008118	18	-0.676534169536752	0.6925660476706197	9.655	0.04920686624842119	0.23012734969338172	4
ENSG00000008128	54	0.30213424632314717	-0.36823298657097436	15.965	0.34462353643862953	0.9131977265079669	11
ENSG00000008130	54	-0.10225761604129792	0.29585683130891566	31.6999995	0.38538955989424245	0.6585256440046698	10
ENSG00000008196	9	0.280630038096558	-0.14655922147793854	3.935	0.2549668874172185	0.572018435277297	3
ENSG00000008226	7	-0.9397704987248525	0.9496502884687804	1.85	0.1264559068219635	0.4347488696524442	4
ENSG00000008256	53	-0.17885040447891462	0.24982195804851998	14.039999999999997	0.08446986683864544	0.28955285125995284	6
ENSG00000008277	32	0.3565317531779619	0.04364928711535992	3.7199999349999997	0.3688877662261693	0.5635526902448196	10
